2024-07-03 23:16:49,775 INFO    MainThread:2093184 [wandb_setup.py:_flush():76] Current SDK version is 0.17.3
2024-07-03 23:16:49,776 INFO    MainThread:2093184 [wandb_setup.py:_flush():76] Configure stats pid to 2093184
2024-07-03 23:16:49,776 INFO    MainThread:2093184 [wandb_setup.py:_flush():76] Loading settings from /home/l11/.config/wandb/settings
2024-07-03 23:16:49,776 INFO    MainThread:2093184 [wandb_setup.py:_flush():76] Loading settings from /home/l11/Documents/ProbabilisticMachineLearningProject/scripts/wandb/settings
2024-07-03 23:16:49,776 INFO    MainThread:2093184 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-03 23:16:49,776 INFO    MainThread:2093184 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-03 23:16:49,776 INFO    MainThread:2093184 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'scripts/run_diffusion.py', 'program_abspath': '/home/l11/Documents/ProbabilisticMachineLearningProject/scripts/run_diffusion.py', 'program': '/home/l11/Documents/ProbabilisticMachineLearningProject/scripts/run_diffusion.py'}
2024-07-03 23:16:49,776 INFO    MainThread:2093184 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-03 23:16:49,776 INFO    MainThread:2093184 [wandb_init.py:_log_setup():520] Logging user logs to /home/l11/Documents/ProbabilisticMachineLearningProject/scripts/wandb/run-20240703_231649-c796d4b2/logs/debug.log
2024-07-03 23:16:49,776 INFO    MainThread:2093184 [wandb_init.py:_log_setup():521] Logging internal logs to /home/l11/Documents/ProbabilisticMachineLearningProject/scripts/wandb/run-20240703_231649-c796d4b2/logs/debug-internal.log
2024-07-03 23:16:49,776 INFO    MainThread:2093184 [wandb_init.py:init():560] calling init triggers
2024-07-03 23:16:49,776 INFO    MainThread:2093184 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-07-03 23:16:49,776 INFO    MainThread:2093184 [wandb_init.py:init():610] starting backend
2024-07-03 23:16:49,777 INFO    MainThread:2093184 [wandb_init.py:init():614] setting up manager
2024-07-03 23:16:49,778 INFO    MainThread:2093184 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-03 23:16:49,780 INFO    MainThread:2093184 [wandb_init.py:init():622] backend started and connected
2024-07-03 23:16:49,783 INFO    MainThread:2093184 [wandb_init.py:init():711] updated telemetry
2024-07-03 23:16:49,791 INFO    MainThread:2093184 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-07-03 23:16:50,356 INFO    MainThread:2093184 [wandb_run.py:_on_init():2402] communicating current version
2024-07-03 23:16:50,459 INFO    MainThread:2093184 [wandb_run.py:_on_init():2411] got version response upgrade_message: "wandb version 0.17.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-07-03 23:16:50,460 INFO    MainThread:2093184 [wandb_init.py:init():795] starting run threads in backend
2024-07-03 23:16:55,900 INFO    MainThread:2093184 [wandb_run.py:_console_start():2380] atexit reg
2024-07-03 23:16:55,900 INFO    MainThread:2093184 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-03 23:16:55,900 INFO    MainThread:2093184 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-03 23:16:55,900 INFO    MainThread:2093184 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-03 23:16:55,902 INFO    MainThread:2093184 [wandb_init.py:init():838] run started, returning control to user process
2024-07-03 23:16:55,902 INFO    MainThread:2093184 [wandb_run.py:_config_callback():1382] config_cb None None {'architecture': '2 encoders and decoders | concat(x, t): False', 'feed_forward_kernel': False, 'unet': True, 'noise_time_steps': 128, 'time_dim_embedding': 64, 'epochs': 64, 'scheduler': 'linear', 'sampler': 'ema_model', 'samples': 1000, 'learning_rate': 0.001, 'beta_ema': 0.999}
2024-07-03 23:18:44,408 INFO    MainThread:2093184 [wandb_run.py:_finish():2109] finishing run l11p11/DiffusionModelSumCategorical/c796d4b2
2024-07-03 23:18:44,408 INFO    MainThread:2093184 [wandb_run.py:_atexit_cleanup():2349] got exitcode: 0
2024-07-03 23:18:44,408 INFO    MainThread:2093184 [wandb_run.py:_restore():2332] restore
2024-07-03 23:18:44,408 INFO    MainThread:2093184 [wandb_run.py:_restore():2338] restore done
2024-07-03 23:18:52,339 INFO    MainThread:2093184 [wandb_run.py:_footer_history_summary_info():3991] rendering history
2024-07-03 23:18:52,339 INFO    MainThread:2093184 [wandb_run.py:_footer_history_summary_info():4023] rendering summary
2024-07-03 23:18:52,343 INFO    MainThread:2093184 [wandb_run.py:_footer_sync_info():3950] logging synced files
